country,name,full_name,isin,currency,symbol
indonesia,Indofarma,Indofarma Tbk,ID1000068406,IDR,INAF
indonesia,Indofood Cbp,Indofood Cbp Sukses Makmur Tbk,ID1000116700,IDR,ICBP
indonesia,Indofood,Indofood Sukses Makmur Tbk,ID1000057003,IDR,INDF
indonesia,Indomobil Multi Jasa,Indomobil Multi Jasa Tbk,ID1000129901,IDR,IMJS
indonesia,Indomobil Sukses,Indomobil Sukses Internasional,ID1000123003,IDR,IMAS
indonesia,Indopoly Swakarsa,Indopoly Swakarsa Industry Tbk,ID1000115900,IDR,IPOL
indonesia,Indoritel Makmur,Indoritel Makmur Internasional,ID1000063605,IDR,DNET
indonesia,Indosat,Indosat Tbk,ID1000097405,IDR,ISAT
indonesia,Indospring,Indospring Tbk,ID1000072002,IDR,INDS
indonesia,Jamu dan Farmasi Sido,Industri Jamu dan Farmasi Sido Muncul Tbk PT,ID1000130305,IDR,SIDO
indonesia,Intanwijaya,Intanwijaya Internasional Tbk,ID1000064504,IDR,INCI
indonesia,Intermedia Capital,Intermedia Capital Tbk,ID1000131303,IDR,MDIA
indonesia,Inti Bangun Sejahtera,Inti Bangun Sejahtera Tbk,ID1000124506,IDR,IBST
indonesia,Intikeramik Alamasri,Intikeramik Alamasri Industri,ID1000076201,IDR,IKAI
indonesia,Intiland Development,Intiland Development Tbk,ID1000116403,IDR,DILD
indonesia,Intraco Penta,Intraco Penta Tbk,ID1000119209,IDR,INTA
indonesia,Island Concepts,Island Concepts Indonesia Tbk,ID1000112204,IDR,ICON
indonesia,J Resources,J Resources Asia Pasifik Tbk,ID1000094709,IDR,PSAB
indonesia,Jaya Agra Wattie,Jaya Agra Wattie Tbk,ID1000119001,IDR,JAWA
indonesia,Japfa Comfeed Indonesia,Japfa Comfeed Indonesia Tbk,ID1000126907,IDR,JPFA
indonesia,Jasa Marga,Jasa Marga Tbk,ID1000108103,IDR,JSMR
indonesia,Jasuindo Tiga Perkasa,Jasuindo Tiga Perkasa Tbk,ID1000120603,IDR,JTPE
indonesia,Jaya Konstruksi,Jaya Konstruksi Manggala Pratama,ID1000129307,IDR,JKON
indonesia,Jaya Real Property,Jaya Real Property Tbk,ID1000128903,IDR,JRPT
indonesia,Jembo Cable Company,Jembo Cable Company Tbk,ID1000074305,IDR,JECC
indonesia,Jakarta Int Hotels & Dev,Jakarta Int Hotels & Dev,ID1000097900,IDR,JIHD
indonesia,Kawasan Jababeka,Kawasan Industri Jababeka Tbk,ID1000072507,IDR,KIJA
indonesia,Kalbe Farma,Kalbe Farma Tbk,ID1000125107,IDR,KLBF
indonesia,Kedawung Setia,Kedawung Setia Industrial Tbk,ID1000054703,IDR,KDSI
indonesia,Keramika Indonesia,Keramika Indonesia Assosiasi,ID1000088206,IDR,KIAS
indonesia,Kertas Basuki Rachmat,Kertas Basuki Rachmat Indonesia,ID1000116809,IDR,KBRI
indonesia,Kimia Farma Persero,Kimia Farma Persero Tbk,ID1000070303,IDR,KAEF
indonesia,Kmi Wire And Cable,Kmi Wire And Cable Tbk,ID1000071806,IDR,KBLI
indonesia,Kobexindo Tractors,Kobexindo Tractors Tbk,ID1000123508,IDR,KOBX
indonesia,Krakatau Steel Persero,Krakatau Steel Persero Tbk,ID1000117005,IDR,KRAS
indonesia,Kresna Graha Investama,Kresna Graha Investama Tbk PT,ID1000124308,IDR,KREN
indonesia,Langgeng Makmur,Langgeng Makmur Industri Tbk,ID1000062409,IDR,LMPI
indonesia,Lautan Luas,Lautan Luas Tbk,ID1000133507,IDR,LTLS
indonesia,Leyand International,Leyand International Tbk,ID1000071004,IDR,LAPD
indonesia,Lippo Cikarang,Lippo Cikarang Tbk,ID1000080302,IDR,LPCK
indonesia,Lippo General Insurance,Lippo General Insurance Tbk,ID1000068109,IDR,LPGI
indonesia,Lippo Karawaci,Lippo Karawaci Tbk,ID1000108905,IDR,LPKR
indonesia,Lippo Securities,Lippo Securities Tbk,ID1000119803,IDR,LPPS
indonesia,Logindo Samudramakmur,Logindo Samudramakmur Tbk,ID1000134000,IDR,LEAD
indonesia,PP London Sumatra,PP London Sumatra Indonesia,ID1000118409,IDR,LSIP
indonesia,Mahaka Media,Mahaka Media Tbk,ID1000087208,IDR,ABBA
indonesia,Malindo Feedmill,Malindo Feedmill Tbk,ID1000119407,IDR,MAIN
indonesia,Mandom Indonesia,Mandom Indonesia Tbk,ID1000053002,IDR,TCID
indonesia,Martina Berto,Martina Berto Tbk,ID1000118102,IDR,MBTO
indonesia,Matahari,Matahari Department Store Tbk,ID1000113301,IDR,LPPF
indonesia,Matahari Putra Prima,Matahari Putra Prima Tbk,ID1000125909,IDR,MPPA
indonesia,Mayora Indah,Mayora Indah Tbk,ID1000060007,IDR,MYOR
indonesia,Medco Energi,Medco Energi Internasional Tbk,ID1000053705,IDR,MEDC
indonesia,Media Nusantara Citra,Media Nusantara Citra Tbk,ID1000106206,IDR,MNCN
indonesia,Megapolitan Dev,Megapolitan Developments Tbk,ID1000118003,IDR,EMDE
indonesia,Metrodata Electronics,Metrodata Electronics Tbk,ID1000055007,IDR,MTDL
indonesia,Metropolitan Land,Metropolitan Land Tbk,ID1000119308,IDR,MTLA
indonesia,Midi Utama Indonesia,Midi Utama Indonesia Tbk,ID1000117302,IDR,MIDI
indonesia,Millennium Pharma,Millennium Pharmacon International,ID1000072804,IDR,SDPC
indonesia,Minna Padi Investama,Minna Padi Investama Tbk,ID1000121908,IDR,PADI
indonesia,Mitra Adiperkasa,Mitra Adiperkasa Tbk,ID1000099807,IDR,MAPI
indonesia,Mitra Int,Mitra International Resources,ID1000110703,IDR,MIRA
indonesia,Mitra Investindo,Mitra Investindo Tbk,ID1000131709,IDR,MITI
indonesia,Mitra Pinasthika,Mitra Pinasthika Mustika,ID1000127202,IDR,MPMX
indonesia,Mitrabahtera Segara,Mitrabahtera Segara Sejati Tbk,ID1000118607,IDR,MBSS
indonesia,Mnc Investama,Mnc Investama Tbk,ID1000064207,IDR,BHIT
indonesia,Mnc Kapital Ind,Mnc Kapital Indonesia Tbk,ID1000069701,IDR,BCAP
indonesia,Mnc Land,Mnc Land Tbk,ID1000052301,IDR,KPIG
indonesia,Mnc Sky Vision,Mnc Sky Vision Tbk,ID1000123607,IDR,MSKY
indonesia,Modern Internasional,Modern Internasional Tbk,ID1000123300,IDR,MDRN
indonesia,Modernland Realty Ltd,Modernland Realty Ltd Tbk,ID1000129604,IDR,MDLN
indonesia,Mulia Industrindo,Mulia Industrindo Tbk,ID1000060106,IDR,MLIA
indonesia,Multi Agro Gemilang Plantation,Multi Agro Gemilang Plantation Tbk PT,ID1000126402,IDR,MAGP
indonesia,Multi Bintang Ind,Multi Bintang Indonesia Tbk,ID1000132806,IDR,MLBI
indonesia,Multi Indocitra,Multi Indocitra Tbk,ID1000102809,IDR,MICE
indonesia,Multi Prima Sejahtera,Multi Prima Sejahtera Tbk,ID1000086408,IDR,LPIN
indonesia,Multipolar,Multipolar Tbk,ID1000115207,IDR,MLPL
indonesia,Multipolar Technology,Multipolar Technology Tbk,ID1000128408,IDR,MLPT
indonesia,Multistrada Arah Sarana,Multistrada Arah Sarana Tbk,ID1000101207,IDR,MASA
indonesia,Mustika Ratu,Mustika Ratu Tbk,ID1000092604,IDR,MRAT
indonesia,Nippon,Nippon Indosari Corpindo Tbk,ID1000129703,IDR,ROTI
indonesia,Nipress,Nipress Tbk,ID1000129802,IDR,NIPS
